BenchmarkBlah/simple-sz10-node2-4        	10000000	       238 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz10-node2-4        	10000000	       238 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz10-node2-4        	10000000	       238 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz10-node2-4        	10000000	       236 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz10-node2-4        	10000000	       232 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz10-node2-4        	10000000	       238 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz10-node2-4        	 5000000	       235 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz10-node2-4        	10000000	       235 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz10-node2-4        	 5000000	       233 ns/op	      48 B/op	       6 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2075 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2119 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2109 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2073 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2130 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2107 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2108 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2100 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2118 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node0-4       	 1000000	      2092 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2060 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2029 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2041 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2145 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2218 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	  500000	      2163 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2092 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2069 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2151 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node1-4       	 1000000	      2200 ns/op	     432 B/op	      54 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	  500000	      2309 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	  500000	      2381 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	 1000000	      2459 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	 1000000	      2331 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	 1000000	      2251 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	 1000000	      2230 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	 1000000	      2169 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	  500000	      2219 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	  500000	      2268 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/simple-sz100-node2-4       	 1000000	      2225 ns/op	     472 B/op	      59 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        43.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        43.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        43.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        43.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        43.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        44.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        43.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        43.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        44.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz1-node0-4        	30000000	        44.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       157 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       154 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       154 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       152 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       152 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       156 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       156 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       152 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       157 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node0-4        	10000000	       155 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	10000000	       120 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	20000000	       118 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	10000000	       118 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	20000000	       117 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	20000000	       121 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	20000000	       121 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	20000000	       117 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	20000000	       121 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	10000000	       122 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node1-4        	20000000	       120 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       158 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       159 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       157 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       154 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       155 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       153 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       153 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       153 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       153 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz5-node2-4        	10000000	       152 ns/op	      32 B/op	       4 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       305 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       306 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       304 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       298 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       305 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       309 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       300 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       310 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       310 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node0-4       	 5000000	       309 ns/op	      64 B/op	       8 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       207 ns/op	      40 B/op	       5 allocs/op
BenchmarkBlah/complex-sz10-node1-4       	10000000	       204 ns/op	      40 B/op	       5 allocs/op
